2-2023-11	《綿花糖2號》 (《童文匯》2023年11月) - 兒童文學	兒童文學	
2011-01	《親子故事之道與開元故事法》 (《中國家庭教育》2011-01) - 文章	文章	
2011	《開元故事法》 (《兩岸三地閱讀推廣》2011) - 文章	文章	
2014-05-29-2015-2015-11	《當天使飛過松山》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-05-29) (《澳門作家文集20...	兒童文學	在遙遠的森林，有一隻長有一雙翅膀的白色小馬，會在天空飛翔。小飛馬善良又聰明，卻不快樂，因為他嫌自己的翅膀太怪，更不滿意身材細小。每當他跟同學在一起時，就會因矮小而自卑。 小飛馬決定離開森林，希望可以尋找變大的方法。他找到神醫，請神醫幫他變大。神醫說：“你是一隻很好的小馬，沒有病，不需要治療。”小飛馬說：“但是我很不開心啊！”神醫說：“聽說在遠方的澳門，有一位
2014-06-26-2015-07	《東望洋山上的小英雄》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-06-26) (《小城小世界─...	兒童文學	聽說，在東望洋山上，有三個小孩，又有三個大壞蛋，結果小孩們一起將大壞蛋趕走，變成了英雄…… 星期日早上，小肥豬一早便醒來。近來，他為慈善演出而排練武俠劇，經常受傷。本來今天應在家裡養傷，但為了幫助衆多小動物，他決定上東望洋山走一趟。...
2014-07-24	《東望洋山上的大英雄》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-07-24) - 兒童文學	兒童文學	
2014-08-21	《黃飛鴻肉搏黑霸王》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-08-21) - 兒童文學	兒童文學	老虎牧師是愛德小學校長，他很仁慈與寬容，被其他學校趕走的頑劣學生，他都願意接納。 愛德小學最頑劣的學生，是曾被數間學校開除的黑豹。黑豹經常打架生事，還試過被拉上警察局。 老師們幾次想把黑豹開除出校。但老虎牧師總是說，愈頑劣的學生便愈需要教育，他們如果被開除，便會流落街頭，變得更壞。...
2014-09-01a628a8-f917-4d92-b46d-ca47af60e244	故事：《龜兔競賽》 (《小城大世界──澳門兒童文學精選》 2014-09) - 兒童文學	兒童文學	小白兔和小烏龜是同學。有一天，樹熊老師要投票選班長。小松鼠提議選小白兔，而小鴨子提議選小烏龜。小白兔心想，自己成績最好，辦事又快又好，小烏龜沒一樣比得上。但投票結果出來後，小白兔很驚訝，小烏龜竟然和自己的得票數一樣！按同學的建議，樹熊老師安排了三個回合的比賽定勝負。...
2014-09-18-2015-07	《狐狸先生的抉擇》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-09-18) (《小城小世界──澳...	兒童文學	從前有兩個小孩子，是同學又是好友，各有不同的夢想。一個希望將來成為大老闆，賺很多錢。另一個希望將來開一間兒童樂園，裡面有大量玩具、圖書、玩樂設施，他和孩子們整天在玩，過着快樂的生活。 想當大老闆的孩子在長大後，果然成為一位大老闆，他就是狐狸先生。狐狸先生雖然身家豐厚，卻不快樂，因為他終日為生意而忙碌，極為疲累，而且身體病痛愈來愈多。他更沒有時間陪兒子小狐狸，
2014-09-a9a732e1-78a7-49e1-b836-97482af8f23a	散文：《母校》 (《小城大世界──澳門兒童文學精選》 2014-09) - 散文	散文	
2014-09	詩歌：《獨個兒在二龍喉公園》 (《小城大世界──澳門兒童文學精選》 2014-09) - 詩歌	詩歌	我到二龍喉公園見朋友，公園真是很熱鬧，又充滿 生機… 黑熊伯伯在家中躲着， 我問，為什麼獨個兒坐着，不出來玩遊戲？ 他緩緩搖頭，說，                老了，爬不動呀！ 金魚姐姐在龜池中躺着， 我問，為什麼獨個兒由金魚池過來這裡歇着，不和夥伴們在一起？ 她慢慢眨眼，說，                病了，被逼要搬來呢！ 猴子籠是空空的，衹有籠子
2014-10-16	《 旅遊塔上的天才》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-10-16) - 兒童文學	兒童文學	賢智會是個由專家組成的協會，宗旨是為社會服務。今日是一月一日，賢智會會長和一班會員來到澳門旅遊塔。 他們談起，旅遊塔真熱鬧，昨日有龜兔的驚險爬塔比賽，今日有大灰狼雜技團在塔頂高空的精彩表演。看完表演之後，他們便前往塔上的旋轉餐廳，一邊用餐，一邊觀賞美景。大法師預言，他們會在這兩天在旅遊塔遇上一個改變世界的天才，這天才會指引他們如何化解地球上的危機。可是，他們
2014-11-13	《 南灣湖畔的精靈》 (《澳門日報》《生活--伴我成長》兒童文學版 2014-11-13) - 兒童文學	兒童文學	黃昏時分，彎彎的月兒在天空掛着。 在南灣湖畔，穿着阿拉伯服飾的女子阿依麗和她的小寶寶一起走着，他們的真實身份是精靈。這時，一個神情友善的小孩剛好經過。阿依麗對他說：“小朋友，我們是專為人服務的好精靈，請您當我的小寶寶的主人吧！”原來阿依麗一心要小寶寶考上名牌幼稚園，竟然提前十多年為小寶寶爭取“實習”機會！ 這時，天神差役李奪出現，抓着阿依麗，並破口大罵：“精
